Do it again!	Recommencez !
I'm not sure.	Je n'en suis pas certaine.
I'm no saint.	Je ne suis pas un saint.
I'm buying.	Je paie.
Tom is unkempt.	Tom est débraillé.
They gave up.	Ils ont abandonné.
It's quiet.	C'est calme.
What a woman!	Quelle femme !
Replace it.	Remplacez-la.
I am human.	Je suis humain.
I saw him.	Je l'ai vu.
What a pain!	Quelle plaie.
That's hot.	C'est chaud.
I fed the dog.	J'ai donné à manger à la chienne.
I'm saying no.	Je dis non.
Tom got lost.	Tom s'est perdu.
Many thanks.	Mille mercis.
You know her.	Tu la connais.
We're alone.	Nous sommes seules.
We'll bury you.	Nous t'enterrerons.
I'm going, too.	J'y vais moi aussi.
Tie your shoe.	Attachez votre lacet.
Are they busy?	Sont-ils occupées ?
He's a jesuit.	Il est jésuite.
Stay positive.	Reste positive !
I'm important.	Je suis important.
I hate insects.	Je déteste les insectes.
You're a thief.	Vous êtes une voleuse.
We want to win.	Nous voulons gagner.
Leave me alone!	Laissez-moi tranquille !
I freaked out.	J'ai eu les foies.
They have come.	Elles sont venues.
Is he at home?	Est-il à la maison ?
I was at work.	J'étais au travail.
What was it?	De quoi s'agissait-il ?
They're bad.	Elles sont mauvaises.
It's wonderful!	C'est formidable !
Leave me alone.	Laissez-moi tranquille.
Look out!	Fais attention !
Here he is!	Il est ici !
Wait a second.	Attendez une seconde !
It's a waste.	C'est un gaspillage.
I like tea.	J'aime le thé.
School is over.	L'école est finie.
Give it a shot.	Essaie.
Be seated.	Asseyez-vous !
Take mine.	Prenez le mien.
Take this.	Prenez ça.
Come again.	À la prochaine.
Bring him to me.	Amène-le-moi !
Take a bite.	Prends une bouchée !
I am better.	Je suis mieux.
I wasn't home.	Je n'étais pas chez moi.
You're kidding!	Vous plaisantez !
I like Tom.	J'aime Tom.
I felt naked.	Je me suis senti nue.
We have room.	Nous avons de la place.
I'm 99% sure.	J'en suis sûr à 99%.
Don't be rude.	Ne sois pas impolie !
I want to come.	Je veux venir.
I'm dehydrated.	Je suis déshydraté.
We broke up.	Nous nous sommes séparés.
That's not bad.	Ce n'est pas mauvais.
You're silly.	Vous êtes idiot.
Are you up?	Êtes-vous levée ?
It happened.	C'est arrivé.
Is it blue?	Est-ce bleu ?
He hung up.	Il a raccroché.
Pick a number.	Choisissez un nombre !
Let Tom rest.	Laissez Tom se reposer.
I'm wet.	Je suis mouillé.
Find the cat.	Trouvez le chat.
The baby cried.	Le bébé a pleuré.
Can they see me?	Sont-ils en mesure de me voir ?
Boy was I naive.	Dieu que j'étais naïf !
I did nothing.	Moi je n'ai rien fait.
I was sleepy.	J'avais envie de dormir.
They want this.	Elles veulent ceci.
I'll go change.	J'irai me changer.
Tom looks old.	Tom a l'air vieux.
Keep it warm.	Garde-le au chaud.
I tricked you.	Je t'ai menti.
I said so.	Je l'ai dit.
We caught you.	Nous vous avons attrapé.
Who hired you?	Qui vous a recrutée ?
She's a hottie.	C'est une bombe.
Who escaped?	Qui s'est échappé ?
Can we do it?	On peut le faire ?
I'm wasted.	Je suis affaiblie.
I need a bath.	J'ai besoin d'un bain.
Shall we start?	On s'y met ?
I'll take one.	J'en prendrai une.
Are you envious?	Êtes-vous envieux ?
I can't go.	Je ne peux pas y aller.
It's all mine.	Tout est à moi.
You are big.	Tu es grande.
You did this.	Tu as fais ceci.
Close the book.	Ferme le livre.
Don't be upset.	Ne soyez pas déçue.
We're finished.	Nous avons fini.
Check it out.	Vérifie !
You can do it.	C'est bon, tu peux le faire.
Let's watch TV.	Allons regarder la télévision.
Look at it.	Regardez-le !
Nobody saw us.	Personne ne nous a vues.
We made it.	Nous avons réussi.
Bring the key.	Emmène la clé.
Study more.	Étudie davantage.
Tie your shoe.	Attachez le lacet de votre chaussure.
I'm too fat.	Je suis trop gros.
Is Tom jealous?	Tom est-il jaloux ?
We can't go.	Nous ne pouvons pas nous y rendre.
Did Tom stay?	Tom est-il resté ?
Tom is wary.	Tom se méfie.
Are you envious?	Êtes-vous envieuse ?
Stop poking me.	Arrête de m'asticoter !
I'm awake.	Je suis réveillé.
What a bummer!	Quelle poisse !
We're confused.	Nous sommes perplexes.
Be respectful.	Soyez respectueux !
I brought mine.	J'ai apporté la mienne.
Can you hear us?	Arrivez-vous à nous entendre ?
We're careful.	Nous sommes prudentes.
Hi! What's new?	Hé ! Quoi de neuf ?
Do you see it?	Est-ce que vous le voyez ?
I saw the file.	J'ai vu le dossier.
I am a monk.	Je suis un moine.
I was last.	J'ai été dernière.
I came back.	Je suis revenu.
He was invited.	Il a été invité.
Are you joking?	Tu plaisantes ?
I will return.	Je reviendrai.
Get inside.	Entre.
He dumped me.	Il m'a plaquée.
We're not cops.	Nous ne sommes pas des flics.
I outrank you.	Je passe avant vous.
You're through.	Tu en as fini.
It helps.	Ça aide.
Tom's resigned.	Tom démissionna.
Avoid clichés.	Évitez les clichés.
I'm not amused.	Ça ne m'amuse pas.
Do I look tired?	Ai-je l'air fatigué ?
Tom apologized.	Tom s'excusa.
I flinched.	J'ai tressailli.
I gave it back.	Je l'ai rendu.
They are here.	Ils sont là.
Tom was there.	Tom y était.
He has left us.	Il nous a quittés.
Look closely.	Regarde attentivement.
Tom likes tea.	Tom aime le thé.
I dozed.	Je me suis assoupie.
He's too slow.	Il est trop lent.
You're tired.	Tu es fatigué.
I'm nervous.	Je suis nerveux.
Is it snowing?	Est-ce qu'il neige ?
Keep out.	N'entrez pas.
Stay thin.	Reste mince !
Bite the bullet.	Serrez les dents.
It's a rental.	C'est une location.
Are you alone?	Êtes-vous seule ?
We are doomed.	Nous sommes condamnés.
It was simple.	C'était simple.
I'll go myself.	J'irai moi-même.
Just relax.	Détends-toi.
Bring Tom along.	Amène Tom avec toi.
I stole a gun.	J'ai volé une arme à feu.
She's crazy.	Elle est cinglée.
This is my car.	C'est ma voiture.
Be punctual.	Sois ponctuelle !
I guess so.	Je le suppose.
Be generous.	Sois généreux !
Tom confessed.	Tom a avoué.
Run for it!	Taillez-vous !
I was grateful.	J'ai été reconnaissant.
It's outdated.	C'est obsolète.
Am I fat?	Suis-je grosse ?
Is it helping?	Est-ce que ça aide ?
You stink.	Tu pues.
Are you busy?	Êtes-vous occupée ?
Can I come in?	Je peux entrer ?
That's them.	C'est elles.
I'm motivated.	Je suis motivée.
Tom joined us.	Tom s'est joint à nous.
Give me a job.	Donne-moi un travail.
Wait a bit.	Attends une seconde !
Are you tall?	Es-tu grand ?
Are you deaf?	Es-tu sourde ?
Here he comes.	Le voici qui vient.
Do I look OK?	Ai-je l'air bien ?
Tom's afraid.	Tom est apeuré.
Get out of bed!	Sortez du lit !
It is a book.	Ceci est un livre.
Wash up.	Lave-toi !
We're trapped.	Nous sommes piégées.
Time flies.	Le temps s'envole.
It has to stop.	Il faut que ça s'arrête.
Eat everything.	Mangez tout.
I'll stand.	Je resterai debout.
She's pregnant.	Elle attend un heureux événement.
I've remarried.	Je me suis remarié.
Take command.	Prends le commandement.
You must come.	Vous devez venir.
Wait a sec.	Attendez une seconde !
It works well.	Ça fonctionne bien.
I made cookies.	J'ai confectionné des biscuits.
Hang on.	Attendez.
Terrific!	Génial !
Go now.	Allez-y maintenant.
It's well done.	C'est bien fait.
Get moving.	Déplace-toi.
It was superb.	Ça a été magnifique.
You can come.	Vous pouvez venir.
Give it to me.	Donnez-le-moi.
Tom's charming.	Tom est plein de charme.
Is this wine?	Est-ce du vin ?
It's complex.	C'est compliqué.
I'll get in.	J'arriverai à entrer.
Send Tom home.	Renvoie Tom chez lui.
Tom is nodding.	Tom acquiesce.
Sing with me.	Chante avec moi.
I'll show you.	Je te montrerai.
What's that?	Qu'est-ce ?
I got fined.	J'ai été verbalisée.
I am all ears.	Je suis tout ouïe.
I also went.	J'y suis également allé.
Who helps her?	Qui l'aide ?
I kept playing.	J'ai continué à jouer.
I exercised.	Je me suis entraîné.
Throw the dice.	Jette le dé.
Tom does that.	C'est ce que fait Tom.
You're foolish.	Vous êtes imprudent.
I exercise.	Je fais de l'exercice.
He dislikes me.	Il ne m'aime pas.
Follow us.	Suivez-nous !
Let's go again.	Retournons-y.
Is that true?	Ah vraiment ?
Cover it up.	Couvrez-le.
It's warmer.	Il fait plus chaud.
Tom got dumped.	Tom s'est fait larguer.
I'm a baker.	Je suis boulanger.
Tom's coming.	Tom arrive.
How high is it?	Grand comment ?
I feel faint.	Je me sens prise de malaise.
Tom, I'm home.	Tom, je suis à la maison.
You're too old.	Vous êtes trop vieilles.
Run for it!	File !
Tom is naked.	Tom est à poil.
Don't fret.	Ne vous tracassez pas.
Try to stop me.	Essaie de m'arrêter !
Tom is seated.	Tom est assis.
They're rich.	Ils sont riches.
We're in love.	Nous sommes amoureux.
We have to go.	Il nous faut y aller.
I hate ironing.	Je déteste repasser.
Did Tom object?	Tom avait-il des objections ?
I should quit.	Je devrais abandonner.
Come quickly.	Viens vite.
Is it serious?	Est-ce sérieux ?
Wake up.	Réveillez-vous !
This is a DVD.	Ceci est un DVD.
Be prudent.	Soyez prudent.
We're not open.	Nous ne sommes pas ouverts.
I'm psychic.	Je suis voyante.
I spoke French.	Je parlais français.
That's a risk.	C'est un risque.
I'm used to it.	J'y suis habitué.
Stay back.	Restez en arrière !
Tom cheats.	Tom triche.
This'll help.	Ça va aider.
Meet me there.	Rencontrez-moi là-bas.
Step inside.	Avance à l'intérieur.
I have a date.	J'ai un rencard.
Get on the bus.	Montez dans le bus !
Can you see it?	Peux-tu le voir ?
Let's push on.	Allons de l'avant.
Unbelievable!	Incroyable !
The dog barked.	Le chien aboya.
This is a fake.	Il s'agit d'un faux.
Stop Tom.	Stoppez Tom.
Please vote.	Veuillez voter.
I made a list.	J'ai dressé une liste.
I got the ax.	J'ai la hache.
Wait outside.	Attends dehors.
Wake up!	Réveille-toi !
Tom wanted it.	Tom la voulait.
Tom looks good.	Tom a bonne mine.
Let it go.	Laisse tomber.
I've won.	Je l'ai emporté.
Don't slouch.	Tenez-vous droit.
Where are you?	Où êtes-vous ?
I was detained.	J'ai été incarcérée.
Ain't she cute?	N'est-elle pas mignonne ?
We're starving.	Nous mourons de faim.
More is needed.	Il en faut plus.
It's revolting.	C'est immonde.
Who kissed you?	Qui vous a embrassé ?
Do you drink?	Buvez-vous ?
Study French.	Étudie le français.
Act your age.	Comporte-toi comme quelqu'un de ton âge.
Dinner is ready.	Le dîner est prêt.
I'll do it.	Je vais le faire.
Happy New Year!	Joyeuse année !
Think again.	Réfléchissez-y encore.
We'll continue.	Nous continuerons.
Tom has a job.	Tom travaille.
He needs money.	Il a besoin d'argent.
Tom met Mary.	Tom rencontra Marie.
Tom is sad.	Tom est triste.
Make your move.	Fais ton déplacement.
I plead guilty.	Je plaide coupable.
They smell bad.	Ils puent.
That was close.	C'était moins une.
Please eat.	Mangez, s'il vous plaît.
Don't panic!	Ne paniquez pas !
How romantic!	Comme c'est romantique !
You look awful.	Vous avez mauvaise mine.
Exhale slowly.	Expire lentement !
Be watchful.	Sois prudente !
Snap out of it!	Reprends tes esprits !
Are they cops?	Sont-ils des flics ?
Does it hurt?	Cela fait-il mal ?
We're reading.	Nous sommes en train de lire.
Tom needed you.	Tom avait besoin de toi.
I'll go see.	J'irai voir.
He let us go.	Il nous a laissées nous en aller.
They let me go.	Ils me laissèrent partir.
He can't drive.	Il ne sait pas conduire.
They're great.	Elles sont formidables.
Tom's hungry.	Tom a faim.
Speed up.	Accélérez.
Open it.	Ouvrez-le.
They're coming.	Elles arrivent.
I'm astonished.	Je suis stupéfaite.
I'll ask him.	Je lui demanderai.
Were they good?	Étaient-elles bonnes ?
We volunteered.	Nous nous sommes portés volontaires.
I'm chicken.	J'ai les foies.
I broke my leg.	Je me suis cassé la jambe.
Come join us.	Viens nous rejoindre !
There it is.	Il est là.
Tom was sad.	Tom était triste.
Are they tall?	Sont-ils grands ?
They're green.	Elles sont vertes.
Tom left.	Tom est parti.
I like you.	Tu me plais.
I'll pack.	Je ferai mon sac.
I'm paying.	Je suis en train de payer.
Don't sass me.	Ne sois pas impertinent à mon égard.
Be confident.	Soyez confiantes !
I'm beautiful.	Je suis beau.
I did it.	Je l'ai fait.
We made it.	Nous l'avons fait.
Are you relaxed?	Es-tu détendu ?
No way!	Hors de question !
You decide.	Vous, décidez.
We'll cook.	Nous allons cuisiner.
Can you juggle?	Savez-vous jongler ?
I tripped.	J'ai plané.
Cheer up!	Courage !
She is dieting.	Elle est au régime.
Leave it.	Laisse tomber !
I'm very cold.	J'ai très froid.
I was welcomed.	J'ai été reçu.
Are you mad?	Êtes-vous folle ?
Stop laughing.	Arrêtez de rire !
I got dumped.	On m'a larguée.
You're shy.	Vous êtes timide.
Whose is it?	C'est à qui ?
I could help.	Je pouvais aider.
That's life.	C'est la vie.
I'm ready!	Je suis prête !
They were busy.	Ils étaient occupés.
I just gave up.	J'ai juste laissé tomber.
He grew old.	Il est devenu vieux.
Which is mine?	Laquelle est la mienne ?
Tom winced.	Tom grimaca.
Are you hurt?	Vous êtes-vous blessés ?
I got expelled.	J'ai été expulsé.
I'm old enough.	Je suis suffisamment vieux.
Shut the door.	Ferme la porte !
Tom looks OK.	Tom semble normal.
He is eating.	Il est en train de manger.
Tom helped.	Tom aida.
This is pretty.	C'est joli.
We can't go.	Nous ne pouvons y aller.
I'm surviving.	Je survis.
Tom is alive.	Tom est en vie.
Can you walk?	Pouvez-vous marcher ?
What a loss!	Quelle perte !
Take me home.	Amène-moi à la maison.
I'm so lonely.	Je suis si seul.
I am divorced.	Je suis divorcé.
I've upset you.	Je t'ai contrarié.
I must refuse.	Il me faut refuser.
Pick a date.	Choisissez une date !
She was livid.	Elle était livide.
He dislikes me.	Il éprouve de l'antipathie à mon égard.
I hated Tom.	Je détestais Tom.
Are you busy?	Es-tu occupé ?
I walked alone.	J'ai cheminé seul.
I could walk.	Je pourrais marcher.
Who vanished?	Qui a disparu ?
I became rich.	Je devins riche.
It's cheap.	C'est bon marché.
I'm not cranky.	Je ne suis pas grincheux.
Tom is relaxed.	Tom est détendu.
He runs fast.	Il court vite.
You're kidding!	Tu me fais marcher !
I felt cheated.	Je me suis senti trompé.
I'm not a liar.	Je ne suis pas une menteuse.
Am I on time?	Est-ce que je suis à l'heure ?
You're not bad.	Vous n'êtes pas mal.
I feel a draft.	Je sens un courant d'air.
We drank a lot.	Nous bûmes beaucoup.
Read the meter.	Relève le compteur.
It'll work.	Cela fonctionnera.
Hurry up, guys.	Dépêchez-vous, les mecs !
Are you crazy?	Es-tu fou ?
Is this enough?	Est-ce assez ?
Take mine.	Prenez les miens.
You must pay.	Il faut payer.
This is normal.	C'est normal.
He disappeared.	Il disparut.
I raise funds.	Je lève des fonds.
I phoned.	J'ai téléphoné.
I feel good.	Je me sens bien.
Please help us.	Aidez-nous s'il vous plaît !
We'll save you.	Nous te sauverons.
Welcome back.	Sois de nouveau le bienvenu !
Listen closely.	Écoute-moi bien !
Are you dressed?	Êtes-vous habillé ?
Translate this.	Traduisez ceci.
I trusted them.	Je leur ai fait confiance.
Use them all.	Utilise-les tous !
I got fined.	On m'a collé une amende.
What is it for?	C'est pour quoi faire ?
We loved you.	Nous t'aimions.
You must go.	Tu dois partir.
That's OK.	Pas de problème.
No problem.	Ce n'est rien.
I'm hopeless.	Je suis désespérée.
I love animals.	J'adore les animaux.
We can meet.	Nous pouvons nous rencontrer.
Head south.	Dirigez-vous vers le sud.
I can call Tom.	Je peux appeler Tom.
I'll be nice.	Je serai gentil.
I rescheduled.	J'ai remis.
We'll take it.	Nous la prendrons.
You're not fat.	Vous n'êtes pas grosses.
I'm not shy.	Je ne suis pas timide.
Tom looks good.	Tom a l'air en forme.
He can't do it.	Il est incapable de le faire.
She loves cats.	Elle adore les chats.
You're foolish.	Vous êtes imprudentes.
Stop bragging.	Cessez de vous vanter.
You were shy.	Vous étiez timide.
Don't do it!	Ne le faites pas !
What a heel!	Quel malandrin !
The cup broke.	La tasse s'est brisée.
We got lucky.	On a eu de la chance.
I'm not naive.	Je ne suis pas naïf.
It worked.	Ça a marché.
I bought it.	Je l'ai acheté.
Walk with me.	Accompagne-moi.
I hate sand.	Je déteste le sable.
Surprise me.	Surprends-moi.
Run for it!	Filez !
Comfort Tom.	Consolez Tom.
Relax.	Calme-toi.
Dig faster.	Creusez plus vite.
I'm brave.	Je suis courageux.
Do you love me?	Tu m'aimes ?
You're stuck.	T'es plantée.
I will fight.	Je me battrai.
I'm going.	Je pars.
Are we lost?	Sommes-nous perdus ?
I'm not mad.	Je ne suis pas fou.
Get going.	Déplacez-vous.
We had to stop.	Il fallut que nous arrêtions.
Oh please!	Je vous en prie !
Do you recycle?	Pratiquez-vous le recyclage ?
Tom chose well.	Tom a fait un bon choix.
I need that.	C'est ce qu'il me faut.
Tom watched.	Tom a regardé.
Tom is smarter.	Tom est plus intelligent.
I have to go.	Il me faut partir.
Tom's cooking.	Tom cuisine.
You're my boss.	Vous êtes mon patron.
Be a good boy.	Soyez un bon garçon !
Stir the soup.	Mélange la soupe.
She hit him.	Elle le frappa.
Are you relaxed?	Es-tu détendue ?
Take that back.	Retirez ça !
Tom's up.	Tom est debout.
Be very careful.	Sois très prudent !
Do you know why?	Est-ce que tu sais pourquoi ?
We can't go.	Nous ne pouvons nous y rendre.
Is it broken?	C'est cassé ?
Tom knows you.	Tom vous connaît.
I must run.	Il me faut courir.
I'm farsighted.	Je vois loin.
Don't cheat.	Ne trichez pas.
Aren't you cold?	N'avez-vous pas froid ?
It hurts here.	J'ai mal ici.
Who's here?	Qui est là ?
Seriously?	Vraiment ?
Call us.	Appelle-nous !
I wonder why.	Je me demande pourquoi.
What a fool!	Quel idiot !
What was it?	Qu'était-ce ?
Can I keep this?	Puis-je garder ceci ?
You're awesome.	Vous êtes génial.
Go find out.	Allez voir.
It's inspiring.	C'est exaltant.
Tom's trapped.	Tom est piégé.
I nearly died.	Je suis presque mort.
How did I look?	De quoi avais-je l'air ?
Seriously?	Ah vraiment ?
Cuff him.	Menottez-le.
He is skating.	Il fait du patin.
Do you know us?	Nous connaissez-vous ?
You're polite.	Vous êtes poli.
We'll share.	On partagera.
Am I stupid?	Suis-je idiote ?
Be ruthless.	Sois impitoyable !
I see them.	Je les vois.
You're free.	Vous êtes libres.
Tom broke that.	Tom l'a cassé.
I'm bald.	Je suis chauve.
I'm creative.	Je suis créatif.
I felt happy.	Je me suis sentie heureuse.
I'm prepared.	Je suis préparé.
I love cooking.	J'adore cuisiner.
I was lonely.	J'étais esseulé.
We're smashed.	Nous sommes bourrés.
You look upset.	Tu as l'air contrariée.
Tom exhaled.	Tom expirait.
Kill it.	Tue-la.
Don't slouch.	Tiens-toi droit.
